Cycle,Plane (x or y),Landmark 1 - 2,Landmark 2 - 3,Landmark 3 - 4,Landmark 4 - 5,Landmark 5 - 6,Landmark 6 - 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
71,y,105,68,25,96,121,73,66,-241,135,80,68,-297,128,75,71,-314,84,55,57,-496
72,x,103,84,84,-255,40,21,17,-158,4,-1,1,-80,-7,-2,4,-66,-40,-28,-21,183
72,y,104,69,25,97,121,73,65,-240,135,79,68,-297,128,75,71,-314,85,55,56,-497
73,x,103,84,84,-255,40,21,16,-157,4,-2,1,-79,-8,-2,4,-64,-41,-28,-22,183
73,y,104,69,25,97,121,73,65,-240,135,79,68,-296,127,76,71,-314,84,55,56,-497
74,x,103,83,84,-255,41,21,16,-158,4,-1,0,-79,-7,-2,4,-64,-41,-28,-22,184
74,y,104,69,25,97,120,74,65,-240,134,80,68,-297,128,76,71,-314,84,55,56,-497
75,x,104,83,85,-256,40,21,17,-158,4,-1,0,-79,-7,-2,4,-64,-41,-29,-21,184
75,y,104,69,26,96,120,74,65,-240,134,80,68,-297,128,75,72,-314,84,55,56,-497
76,x,102,84,85,-256,40,21,17,-158,4,-2,1,-79,-7,-2,4,-65,-40,-29,-22,184
76,y,104,69,26,96,120,74,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496
77,x,103,84,84,-255,40,21,16,-157,3,-2,1,-78,-8,-2,4,-64,-41,-28,-22,184
77,y,104,69,26,96,121,73,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496
78,x,103,84,84,-255,39,21,16,-156,3,-2,1,-78,-8,-2,4,-64,-41,-29,-22,185
78,y,106,69,25,96,121,73,66,-241,135,79,68,-296,128,75,71,-314,84,55,56,-496
79,x,104,83,84,-255,39,20,16,-155,3,-2,0,-77,-8,-2,3,-63,-41,-29,-22,185
79,y,105,69,26,96,120,73,66,-240,134,80,68,-297,128,75,71,-314,84,55,56,-496
80,x,103,83,85,-256,39,21,16,-156,3,-2,1,-78,-8,-2,4,-63,-42,-28,-23,185
80,y,105,70,26,95,120,73,66,-240,135,79,68,-297,128,75,71,-314,84,55,56,-496
81,x,104,83,85,-256,39,21,16,-156,3,-2,0,-77,-8,-2,3,-63,-41,-29,-22,187
81,y,105,70,26,95,121,73,65,-240,135,79,68,-297,128,75,71,-314,84,55,56,-496
82,x,103,83,85,-256,39,21,17,-157,3,-2,0,-77,-8,-2,4,-64,-41,-29,-22,187
82,y,106,69,26,96,120,73,65,-239,134,80,67,-296,127,76,70,-313,83,55,56,-496
83,x,103,83,85,-256,39,21,17,-157,3,-2,0,-77,-8,-2,4,-64,-41,-29,-22,186
83,y,106,69,26,96,120,73,65,-239,134,80,67,-296,127,76,70,-313,83,55,56,-496
84,x,103,84,84,-256,40,21,16,-157,4,-2,0,-78,-8,-2,4,-64,-40,-28,-22,186
84,y,105,70,25,96,120,73,65,-240,134,79,68,-295,126,76,71,-313,83,55,56,-497
85,x,103,83,84,-255,39,21,16,-157,4,-2,1,-79,-8,-2,4,-64,-41,-28,-21,185
85,y,106,70,26,94,120,73,65,-239,135,79,67,-295,127,75,72,-313,83,54,56,-496
86,x,103,84,84,-255,39,21,16,-156,3,-2,1,-79,-8,-2,4,-64,-41,-28,-22,186
86,y,106,69,26,94,121,73,65,-239,134,79,67,-295,127,76,71,-313,83,54,56,-496
87,x,103,83,84,-255,39,21,16,-157,4,-2,1,-79,-8,-2,4,-63,-42,-28,-22,186
87,y,106,69,26,94,121,72,65,-238,134,79,67,-295,127,76,71,-313,83,54,56,-496
88,x,104,83,84,-255,40,20,16,-156,4,-2,-1,-77,-8,-2,3,-63,-41,-28,-23,187
88,y,105,70,26,94,121,73,65,-240,135,79,67,-295,127,76,71,-313,83,54,57,-497
89,x,104,83,84,-255,39,21,15,-155,3,-3,0,-77,-8,-2,4,-64,-41,-28,-22,185
89,y,105,68,26,96,120,73,66,-240,134,79,68,-296,127,76,72,-314,84,54,56,-496
90,x,104,84,83,-255,40,20,16,-156,3,-2,0,-77,-8,-2,3,-63,-41,-28,-22,184
90,y,104,69,26,95,121,73,65,-240,134,80,68,-296,127,75,72,-314,84,55,56,-496
91,x,104,84,84,-256,40,20,15,-155,3,-3,0,-77,-7,-2,3,-64,-41,-28,-22,185
91,y,104,69,26,96,120,73,66,-240,134,80,68,-297,128,75,71,-313,83,55,57,-497
92,x,105,83,84,-256,40,21,15,-156,4,-3,0,-77,-8,-1,3,-65,-40,-28,-22,184
92,y,105,68,26,96,121,73,65,-240,135,80,68,-297,128,75,71,-314,84,55,56,-496
93,x,105,84,83,-256,40,21,15,-156,4,-2,-1,-77,-7,-2,3,-65,-40,-28,-22,184
93,y,105,69,26,96,120,73,66,-240,135,79,68,-297,128,76,71,-314,84,55,56,-496
94,x,104,84,83,-256,40,21,15,-156,4,-2,0,-78,-7,-2,3,-64,-40,-28,-21,182
94,y,104,69,26,96,120,74,65,-240,135,79,68,-297,128,75,71,-313,84,55,56,-496
95,x,104,84,83,-256,40,21,15,-156,4,-2,-1,-77,-7,-2,4,-66,-39,-28,-21,183
95,y,104,68,27,96,120,74,65,-240,134,80,68,-297,128,76,71,-314,84,55,56,-496
96,x,104,84,83,-255,40,20,15,-155,4,-3,0,-77,-8,-2,4,-65,-40,-28,-22,183
96,y,104,69,26,95,121,73,66,-241,135,80,69,-298,128,75,71,-314,84,55,56,-495
97,x,104,84,83,-255,40,21,15,-156,3,-2,0,-77,-8,-1,3,-65,-40,-28,-21,183
97,y,103,70,26,95,121,73,66,-241,135,80,68,-297,128,75,71,-313,84,55,56,-496
98,x,103,84,84,-256,40,21,15,-156,3,-2,0,-77,-7,-2,3,-65,-40,-28,-21,183
98,y,104,69,26,95,121,73,66,-241,135,80,68,-297,128,75,71,-314,85,55,56,-497
99,x,104,84,84,-256,40,20,16,-156,3,-2,0,-78,-6,-2,3,-65,-40,-27,-22,183
99,y,103,69,27,95,121,73,66,-241,135,80,68,-298,129,75,71,-314,85,55,56,-497
100,x,103,84,84,-257,41,21,15,-157,4,-1,-1,-78,-6,-2,4,-66,-40,-27,-22,183
100,y,104,69,27,94,121,73,66,-241,135,80,68,-298,129,75,71,-314,85,55,56,-497
101,x,103,84,84,-257,40,21,15,-156,4,-2,0,-78,-6,-2,3,-65,-40,-27,-21,182
101,y,103,70,26,95,121,74,65,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497
102,x,103,84,84,-257,41,20,15,-155,3,-2,0,-78,-6,-2,4,-66,-40,-27,-21,182
102,y,104,69,26,95,121,74,65,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497
103,x,104,84,84,-257,41,21,15,-157,4,-1,-1,-78,-6,-2,4,-66,-39,-28,-21,182
103,y,104,69,25,96,121,73,66,-241,135,80,68,-298,128,76,72,-315,84,56,56,-497
104,x,103,83,84,-256,41,21,15,-157,5,-2,0,-78,-7,-2,4,-66,-39,-28,-21,182
104,y,104,70,26,95,121,73,66,-241,135,80,68,-298,128,76,72,-315,84,55,57,-497
105,x,103,83,84,-256,41,21,15,-157,4,-1,0,-78,-7,-2,4,-65,-40,-27,-22,182
105,y,104,70,26,95,121,73,66,-241,135,80,67,-297,128,76,71,-314,84,55,57,-497
106,x,103,83,84,-256,41,21,15,-157,5,-2,0,-78,-7,-1,3,-66,-39,-28,-21,182
106,y,104,69,27,95,121,73,66,-241,135,80,67,-297,128,76,72,-315,84,55,56,-495
107,x,104,83,84,-256,40,21,16,-157,4,-2,0,-78,-7,-1,3,-65,-40,-28,-21,181
107,y,103,70,26,96,121,73,66,-241,135,79,68,-297,128,76,71,-314,84,55,56,-496
108,x,104,83,84,-256,41,21,16,-158,4,-1,-1,-78,-6,-2,4,-66,-40,-28,-21,181
108,y,104,69,26,96,120,73,66,-240,135,80,68,-298,128,76,72,-315,84,55,57,-496
109,x,105,83,84,-255,40,21,17,-158,4,-2,0,-78,-7,-2,3,-65,-40,-28,-22,183
109,y,104,68,27,96,120,73,66,-240,135,80,68,-298,128,76,71,-314,85,54,57,-496
110,x,104,84,83,-255,40,22,16,-158,4,-2,0,-78,-6,-3,4,-65,-41,-28,-22,183
110,y,103,69,27,96,120,73,65,-239,135,79,68,-297,128,76,71,-314,84,55,57,-496
111,x,105,83,83,-255,41,21,16,-158,4,-1,0,-79,-7,-1,3,-65,-41,-28,-22,183
111,y,103,69,27,96,119,73,65,-238,134,80,68,-297,128,76,71,-314,84,55,57,-496
112,x,104,83,84,-255,41,21,17,-159,4,-1,0,-79,-7,-1,3,-65,-41,-28,-22,183
112,y,102,70,27,96,120,72,65,-238,135,80,67,-297,129,75,71,-314,84,55,56,-495
113,x,104,83,84,-255,40,22,17,-159,4,-2,1,-79,-7,-2,4,-65,-41,-28,-22,182
113,y,103,69,28,95,120,72,66,-239,135,79,68,-297,128,76,71,-314,84,55,57,-496
114,x,103,83,84,-254,40,22,17,-159,4,-2,1,-79,-7,-2,4,-66,-40,-28,-22,182
114,y,103,69,28,95,120,72,66,-239,134,80,69,-298,128,75,72,-315,85,55,56,-495
115,x,105,82,84,-255,41,21,17,-159,5,-2,1,-80,-6,-2,3,-65,-40,-29,-22,183
